date,utm_source,utm_medium,utm_campaign,cost
2023-03-01T09:16:57,google,cpc,virtual_reality_workshop,238
2023-03-02T12:48:25,google,cpc,virtual_reality_workshop,164
2023-03-03T13:39:30,google,cpc,virtual_reality_workshop,240
2023-03-04T16:42:54,google,cpc,virtual_reality_workshop,167
2023-03-05T03:58:19,google,cpc,virtual_reality_workshop,268
2023-03-06T06:42:34,google,cpc,virtual_reality_workshop,126
2023-03-07T11:53:16,google,cpc,virtual_reality_workshop,191
2023-03-08T12:14:34,google,cpc,virtual_reality_workshop,165
2023-03-09T20:55:36,google,cpc,virtual_reality_workshop,121
2023-03-10T07:38:06,google,cpc,virtual_reality_workshop,122
2023-03-11T10:26:15,google,cpc,virtual_reality_workshop,188
2023-03-12T02:19:37,google,cpc,virtual_reality_workshop,132
2023-03-13T19:02:06,google,cpc,virtual_reality_workshop,275
2023-03-14T22:01:42,google,cpc,virtual_reality_workshop,292
2023-03-15T12:53:55,google,cpc,virtual_reality_workshop,198
2023-03-16T10:07:04,google,cpc,virtual_reality_workshop,122
2023-03-17T09:08:25,google,cpc,virtual_reality_workshop,150
2023-03-18T22:29:31,google,cpc,virtual_reality_workshop,250
2023-03-19T19:35:03,google,cpc,virtual_reality_workshop,257
2023-03-20T05:38:03,google,cpc,virtual_reality_workshop,146
2023-03-21T15:17:37,google,cpc,virtual_reality_workshop,266
2023-03-22T10:39:16,google,cpc,virtual_reality_workshop,134
2023-03-23T10:20:50,google,cpc,virtual_reality_workshop,238
2023-03-24T00:39:13,google,cpc,virtual_reality_workshop,104
2023-03-25T15:12:04,google,cpc,virtual_reality_workshop,167
2023-03-26T22:56:34,google,cpc,virtual_reality_workshop,212
2023-03-27T09:41:11,google,cpc,virtual_reality_workshop,118
2023-03-28T20:57:25,google,cpc,virtual_reality_workshop,103
2023-03-29T21:08:34,google,cpc,virtual_reality_workshop,177
2023-03-30T05:47:00,google,cpc,virtual_reality_workshop,190
2023-03-31T12:32:21,google,cpc,virtual_reality_workshop,101
2023-04-01T18:33:44,google,cpc,virtual_reality_workshop,179
2023-04-02T05:20:53,google,cpc,virtual_reality_workshop,130
2023-04-03T03:35:08,google,cpc,virtual_reality_workshop,207
2023-04-04T17:34:33,google,cpc,virtual_reality_workshop,237
2023-04-05T06:17:18,google,cpc,virtual_reality_workshop,210
2023-04-09T18:25:52,tg,social,game_dev_crash_course,165
2023-04-10T09:47:25,tg,social,game_dev_crash_course,142
2023-04-11T02:27:00,tg,social,game_dev_crash_course,268
2023-04-12T01:39:13,tg,social,game_dev_crash_course,144
2023-04-13T11:34:54,tg,social,game_dev_crash_course,248
2023-04-14T19:26:52,tg,social,game_dev_crash_course,181
2023-04-15T03:05:19,tg,social,game_dev_crash_course,241
2023-04-16T16:43:44,tg,social,game_dev_crash_course,174
2023-04-17T15:56:04,tg,social,game_dev_crash_course,180
2023-04-18T18:38:38,tg,social,game_dev_crash_course,189
2023-04-19T09:41:54,tg,social,game_dev_crash_course,120
2023-04-20T09:31:09,tg,social,game_dev_crash_course,283
2023-04-21T07:11:18,tg,social,game_dev_crash_course,108
2023-04-22T02:14:44,tg,social,game_dev_crash_course,226
2023-04-23T18:55:31,tg,social,game_dev_crash_course,100
2023-04-24T07:39:35,tg,social,game_dev_crash_course,156
2023-04-25T00:59:24,tg,social,game_dev_crash_course,147
2023-04-26T23:14:43,tg,social,game_dev_crash_course,173
2023-04-27T13:58:21,tg,social,game_dev_crash_course,126
2023-04-28T11:52:49,tg,social,game_dev_crash_course,271
2023-04-29T11:13:45,tg,social,game_dev_crash_course,234
2023-04-30T09:34:33,tg,social,game_dev_crash_course,294
2023-05-01T15:19:15,tg,social,game_dev_crash_course,300
2023-05-02T05:26:09,tg,social,game_dev_crash_course,216
2023-05-03T03:50:55,tg,social,game_dev_crash_course,256
2023-05-04T17:05:33,tg,social,game_dev_crash_course,142
2023-05-05T02:43:34,tg,social,game_dev_crash_course,181
2023-05-06T15:43:10,tg,social,game_dev_crash_course,262
2023-05-07T23:57:49,tg,social,game_dev_crash_course,193
2023-05-09T07:32:40,yandex,cpc,web_dev_workshop_series,176
2023-05-10T15:33:59,yandex,cpc,web_dev_workshop_series,293
2023-05-11T04:46:21,yandex,cpc,web_dev_workshop_series,252
2023-05-12T02:36:40,yandex,cpc,web_dev_workshop_series,283
2023-05-13T08:29:00,yandex,cpc,web_dev_workshop_series,296
2023-05-14T03:16:24,yandex,cpc,web_dev_workshop_series,128
2023-05-15T11:23:24,yandex,cpc,web_dev_workshop_series,238
2023-05-16T14:06:37,yandex,cpc,web_dev_workshop_series,291
2023-05-17T02:17:35,yandex,cpc,web_dev_workshop_series,216
2023-05-18T16:19:46,yandex,cpc,web_dev_workshop_series,242
2023-05-19T22:54:29,yandex,cpc,web_dev_workshop_series,115
2023-05-20T04:11:18,yandex,cpc,web_dev_workshop_series,108
2023-05-21T10:45:04,yandex,cpc,web_dev_workshop_series,199
2023-05-22T13:16:26,yandex,cpc,web_dev_workshop_series,146
2023-05-23T07:30:40,yandex,cpc,web_dev_workshop_series,236
2023-05-24T00:08:19,yandex,cpc,web_dev_workshop_series,134
2023-05-25T09:25:56,yandex,cpc,web_dev_workshop_series,143
2023-05-26T21:34:01,yandex,cpc,web_dev_workshop_series,188
2023-05-27T00:58:00,yandex,cpc,web_dev_workshop_series,223
2023-05-28T02:15:19,yandex,cpc,web_dev_workshop_series,265
2023-05-29T16:49:19,yandex,cpc,web_dev_workshop_series,277
2023-05-30T16:36:47,yandex,cpc,web_dev_workshop_series,137
2023-05-31T16:42:32,yandex,cpc,web_dev_workshop_series,225
2023-06-01T06:51:11,yandex,cpc,web_dev_workshop_series,167
2023-06-02T18:49:54,yandex,cpc,web_dev_workshop_series,125
2023-06-03T04:07:14,yandex,cpc,web_dev_workshop_series,266
2023-06-04T05:56:04,yandex,cpc,web_dev_workshop_series,258
2023-06-05T20:40:13,yandex,cpc,web_dev_workshop_series,194
2023-06-06T15:19:10,yandex,cpc,web_dev_workshop_series,127
2023-06-07T08:53:33,yandex,cpc,web_dev_workshop_series,167
2023-06-08T09:06:32,yandex,cpc,web_dev_workshop_series,233
2023-06-09T02:56:19,yandex,cpc,web_dev_workshop_series,222
2023-06-10T15:12:53,yandex,cpc,web_dev_workshop_series,170
2023-06-11T12:40:06,yandex,cpc,web_dev_workshop_series,181
2023-06-12T19:23:38,yandex,cpc,web_dev_workshop_series,182
2023-06-13T22:28:42,yandex,cpc,web_dev_workshop_series,115
2023-06-20T02:18:05,vk,social,tech_career_fair,279
2023-06-21T10:06:10,vk,social,tech_career_fair,125
2023-06-22T11:54:11,vk,social,tech_career_fair,250
2023-06-23T18:59:42,vk,social,tech_career_fair,175
2023-06-24T20:55:09,vk,social,tech_career_fair,132
2023-06-25T01:35:02,vk,social,tech_career_fair,158
2023-06-26T21:17:16,vk,social,tech_career_fair,174
2023-06-27T10:30:08,vk,social,tech_career_fair,252
2023-06-28T05:45:56,vk,social,tech_career_fair,110
2023-06-29T21:47:27,vk,social,tech_career_fair,254
2023-06-30T20:47:47,vk,social,tech_career_fair,292
2023-07-01T00:08:22,vk,social,tech_career_fair,139
2023-07-02T22:09:17,vk,social,tech_career_fair,218
2023-07-03T23:38:18,vk,social,tech_career_fair,277
2023-07-04T01:14:09,vk,social,tech_career_fair,165
2023-07-05T13:00:36,vk,social,tech_career_fair,274
2023-07-06T16:02:42,vk,social,tech_career_fair,138
2023-07-07T02:18:03,vk,social,tech_career_fair,104
2023-07-08T20:29:48,vk,social,tech_career_fair,216
2023-07-09T19:34:04,vk,social,tech_career_fair,270
2023-07-10T08:59:06,vk,social,tech_career_fair,240
2023-07-11T22:01:58,vk,social,tech_career_fair,174
2023-07-12T11:39:17,vk,social,tech_career_fair,173
2023-07-13T09:54:36,vk,social,tech_career_fair,145
2023-07-14T20:15:33,vk,social,tech_career_fair,214
2023-07-15T03:53:10,vk,social,tech_career_fair,242
2023-07-16T02:41:31,vk,social,tech_career_fair,203
2023-07-17T13:21:59,vk,social,tech_career_fair,157
2023-07-18T12:28:29,vk,social,tech_career_fair,123
2023-07-19T14:00:51,vk,social,tech_career_fair,148
2023-07-20T15:20:08,vk,social,tech_career_fair,226
2023-07-21T19:51:39,vk,social,tech_career_fair,139
2023-07-22T02:04:27,vk,social,tech_career_fair,260
2023-07-23T23:30:28,vk,social,tech_career_fair,251
2023-07-24T20:43:50,vk,social,tech_career_fair,144
2023-07-25T08:57:15,vk,social,tech_career_fair,132
2023-07-29T12:52:11,yandex,cpc,cybersecurity_special,144
2023-07-30T16:59:38,yandex,cpc,cybersecurity_special,206
2023-07-31T21:00:09,yandex,cpc,cybersecurity_special,256
2023-08-01T12:44:27,yandex,cpc,cybersecurity_special,105
2023-08-02T20:19:25,yandex,cpc,cybersecurity_special,264
2023-08-03T12:14:11,yandex,cpc,cybersecurity_special,188
2023-08-04T09:28:30,yandex,cpc,cybersecurity_special,290
2023-08-05T05:18:29,yandex,cpc,cybersecurity_special,194
2023-08-06T20:36:00,yandex,cpc,cybersecurity_special,295
2023-08-07T05:35:30,yandex,cpc,cybersecurity_special,162
2023-08-08T18:56:13,yandex,cpc,cybersecurity_special,126
2023-08-09T08:39:56,yandex,cpc,cybersecurity_special,168
2023-08-10T22:53:07,yandex,cpc,cybersecurity_special,197
2023-08-11T08:54:21,yandex,cpc,cybersecurity_special,270
2023-08-12T18:17:41,yandex,cpc,cybersecurity_special,103
2023-08-13T15:26:57,yandex,cpc,cybersecurity_special,295
2023-08-14T00:46:55,yandex,cpc,cybersecurity_special,166
2023-08-15T22:53:07,yandex,cpc,cybersecurity_special,179
2023-08-16T12:03:25,yandex,cpc,cybersecurity_special,142
2023-08-17T18:14:16,yandex,cpc,cybersecurity_special,220
2023-08-18T11:26:00,yandex,cpc,cybersecurity_special,218
2023-08-19T02:31:45,yandex,cpc,cybersecurity_special,162
2023-08-20T07:29:13,yandex,cpc,cybersecurity_special,163
2023-08-21T07:13:24,yandex,cpc,cybersecurity_special,203
2023-08-22T21:19:12,yandex,cpc,cybersecurity_special,242
2023-08-23T05:21:27,yandex,cpc,cybersecurity_special,147
2023-08-24T12:38:41,yandex,cpc,cybersecurity_special,100
2023-08-25T23:35:32,yandex,cpc,cybersecurity_special,135
2023-08-26T11:24:41,yandex,cpc,cybersecurity_special,286
2023-08-27T10:31:35,yandex,cpc,cybersecurity_special,290
2023-08-28T15:28:08,yandex,cpc,cybersecurity_special,250
2023-08-29T23:22:03,yandex,cpc,cybersecurity_special,135
2023-08-30T02:40:07,yandex,cpc,cybersecurity_special,130
2023-08-31T08:39:54,yandex,cpc,cybersecurity_special,192
2023-09-01T22:18:28,yandex,cpc,cybersecurity_special,173
2023-09-02T20:11:07,yandex,cpc,cybersecurity_special,146
2023-09-03T14:39:36,yandex,cpc,cybersecurity_special,173
2023-09-04T10:19:53,yandex,cpc,cybersecurity_special,173
2023-09-05T18:19:25,yandex,cpc,cybersecurity_special,221
2023-09-06T19:57:25,yandex,cpc,cybersecurity_special,124
2023-09-07T16:04:38,yandex,cpc,cybersecurity_special,211
2023-09-08T23:56:00,yandex,cpc,cybersecurity_special,195
2023-09-09T00:23:07,yandex,cpc,cybersecurity_special,121
